NodeID,SVM_Max,X,Y,Z
379,281.19272301914674,28.0,2.0,0.0
380,485.2836605328523,26.0,2.0,0.0
381,704.2819541910185,24.0,2.0,0.0
382,930.7804134964522,22.0,2.0,0.0
383,1162.3450865523141,20.0,2.0,0.0
384,1397.6273240970759,18.0,2.0,0.0
385,1635.560594999627,16.0,2.0,0.0
386,1875.172379004381,14.0,2.0,0.0
387,2124.3585724852633,12.0,2.0,0.0
388,2378.010466109559,10.0,2.0,0.0
389,2626.71203037486,8.0,2.0,0.0
390,2882.5808659277327,6.0,2.0,0.0
391,3096.6531301204764,4.0,2.0,0.0
392,3440.4797199256504,2.0,2.0,0.0
393,3440.4797871761966,2.0,2.0,-2.0
394,3096.6531118080966,4.0,2.0,-2.0
395,2882.58089340998,6.0,2.0,-2.0
396,2626.712053303198,8.0,2.0,-2.0
397,2378.010451162839,10.0,2.0,-2.0
398,2124.3585971108037,12.0,2.0,-2.0
399,1875.1724789074296,14.0,2.0,-2.0
400,1635.56066160617,16.0,2.0,-2.0
401,1397.627394558348,18.0,2.0,-2.0
402,1162.3451646223023,20.0,2.0,-2.0
403,930.7804736077381,22.0,2.0,-2.0
404,704.2820073386033,24.0,2.0,-2.0
405,485.2837321095502,26.0,2.0,-2.0
406,281.19279262045995,28.0,2.0,-2.0
407,416.0099462393631,30.0,2.0,-2.0
408,601.164886526089,32.0,2.0,-2.0
409,782.1918119093908,34.0,2.0,-2.0
410,964.9287303861198,36.0,2.0,-2.0
411,1145.023443427492,38.0,2.0,-2.0
412,1315.1449591343799,40.0,2.0,-2.0
413,1474.5517124572984,42.0,2.0,-2.0
414,1622.6725913472585,44.0,2.0,-2.0
415,1759.0344450908551,46.0,2.0,-2.0
416,1883.2154136077627,48.0,2.0,-2.0
417,1994.8142497874003,50.0,2.0,-2.0
418,2093.4351188922215,52.0,2.0,-2.0
419,2178.687087703989,54.0,2.0,-2.0
420,2250.1980860887916,56.0,2.0,-2.0
421,2307.6397873915016,58.0,2.0,-2.0
422,2356.289154037964,60.0,2.0,-2.0
423,2395.639112178218,62.0,2.0,-2.0
424,2420.265746387957,64.0,2.0,-2.0
425,2430.2214654455074,66.0,2.0,-2.0
426,2425.68792963053,68.0,2.0,-2.0
